city_name,temperature,decade
MELBOURNE,19.9,1970s
MELBOURNE,22.7,1970s
MELBOURNE,20.2,1970s
MELBOURNE,33.7,1980s
MELBOURNE,36.4,1980s
MELBOURNE,24.2,1980s
MELBOURNE,19.5,1980s
MELBOURNE,19.5,1980s
MELBOURNE,18.8,1980s
MELBOURNE,19.5,1980s
MELBOURNE,20.8,1980s
MELBOURNE,20,1980s
MELBOURNE,18.6,1980s
MELBOURNE,28.7,1990s
MELBOURNE,19.9,1990s
MELBOURNE,19.1,1990s
MELBOURNE,31.2,1990s
MELBOURNE,22,1990s
MELBOURNE,21.8,1990s
MELBOURNE,21.4,1990s
MELBOURNE,19.9,1990s
MELBOURNE,41.9,1990s
MELBOURNE,26.3,1990s
MELBOURNE,25.5,2000s
MELBOURNE,21.6,2000s
MELBOURNE,20.1,2000s
MELBOURNE,27.7,2000s
MELBOURNE,19.7,2000s
MELBOURNE,21.4,2000s
MELBOURNE,21.9,2000s
MELBOURNE,31.5,2000s
MELBOURNE,21.9,2000s
MELBOURNE,19,2000s
MELBOURNE,19.8,2010s
MELBOURNE,20,2010s
MELBOURNE,34.3,2010s
MELBOURNE,40.6,2010s
MELBOURNE,42.5,2010s
MELBOURNE,25,2010s
MELBOURNE,32.7,2010s
MELBOURNE,37.8,2010s
MELBOURNE,30.3,2010s
MELBOURNE,32.5,2010s
